id,title,aliases,artistId,year,year_min,year_max,medium,movement,era,blurb,,
work_little_dancer_aged_fourteen,14歳の小さな踊り子,Little Dancer Aged Fourteen,artist_edgar_degas,,1881,1881,sculpture,impressionism,modern_19c,少女の姿勢を写実的に捉え、理想化ではない身体の現実を提示した彫刻。舞台の夢と訓練の厳しさが同時に見え、鑑賞者を戸惑わせる。,,
work_the_second_of_may_1808,1808年5月2日,The Second of May 1808,artist_francisco_goya,1814,,,oil_painting,romanticism,modern_19c,民衆蜂起の混乱を生々しく描き、歴史を英雄譚ではなく衝突の渦として示した。暴力の勢いが画面から飛び出す。,,
work_the_third_of_may_1808,1808年5月3日,The Third of May 1808,artist_francisco_goya,1814,,,oil_painting,romanticism,modern_19c,処刑の瞬間を強烈な光で照らし、無名の恐怖と怒りを歴史画の中心に据えた。英雄ではなく犠牲者の視点が、近代の証言として突き刺さる。,,
work_irises,アイリス,Irises,artist_vincent_van_gogh,1889,,,painting,post_impressionism,modern_19c,花弁のうねりが線のリズムになり、色がそのまま生命の脈として響く。一本一本が違い、群れなのに個が立つ。,,
work_les_demoiselles_d_avignon,アヴィニョンの娘たち,Les Demoiselles d’Avignon,artist_pablo_picasso,1907,,,painting,cubism,modern_early_20c,複数の視点を同時に突きつけ、身体と空間を切り裂くように再構成した転換点。美の規範を壊すことで、近代絵画の問いを前面化させた。,,
work_accumulation_no_1,アキュムレーション No.1,Accumulation No. 1,artist_yayoi_kusama,1962,,,sculpture,contemporary_art,contemporary,反復する形態で日用品を異物化し、執着や不安の感覚を可視化した。増殖する形が、個人的な衝動を空間の圧力へ変える。,,
work_adam_and_eve_durer,アダムとイヴ,Adam and Eve,artist_albrecht_durer,1504,,,printmaking,,renaissance,理想化された裸体と動物寓意で、堕罪前の均衡を描いた。緻密な線が世界の秩序を支え、破綻の予感を含む。,,
work_creation_of_adam,アダムの創造,The Creation of Adam,artist_michelangelo_buonarroti,1512,,,painting,,renaissance,指先が触れそうで触れない瞬間に、生命の火花を凝縮した場面。最小の距離が最大の緊張となり、神話が即物的な実在感を得ている。,,
work_school_of_athens,アテナイの学堂,The School of Athens|Scuola di Atene,artist_raphael,,1509,1511,painting,,renaissance,古代哲学者たちを理想建築の空間に配置し、知の系譜を一枚にまとめた壁画。視線が交差し、議論の熱が構図そのものとして流れる。,,
work_bathers_at_asnieres,アニエールの水浴,Bathers at Asnières,artist_georges_seurat,1884,,,painting,neo_impressionism,modern_19c,川辺の若者たちを落ち着いた色面で捉え、近代の余暇を記念碑のように描いた。静けさの中に、都市の階層と空気が滲む。,,
work_l_absinthe,アブサン,L’Absinthe|The Absinthe Drinker,artist_edgar_degas,1876,,,painting,impressionism,modern_19c,酒場の沈黙を、離れた視線とくすんだ色で凝縮した。都会の孤独が人物の間の距離として表れ、近代生活の影が画面に沈む。,,
work_abraham_and_isaac_rembrandt,アブラハムとイサク,Abraham and Isaac,artist_rembrandt,1634,,,oil_painting,,baroque,刃が止まる瞬間に恐怖と赦しを重ね、信仰の試練を身体の接触で語った。闇の中の手が、運命を握る。,,
work_calumny_of_apelles,アペレスの誹謗,Calumny of Apelles,artist_sandro_botticelli,1495,,,painting,,renaissance,寓意的人物群で中傷と権力の構造を可視化した。装飾的な美しさの中に、倫理の鋭さが刺さる。,,
work_self_portrait_with_dr_arrieta,アリエタ医師と自画像,Self-Portrait with Dr. Arrieta,artist_francisco_goya,1820,,,oil_painting,romanticism,modern_19c,病の淵で支えられる自分を描き、生の危うさと感謝を生々しく示した。筆致が荒く、呼吸の苦しさが画面に残る。,,
work_duchess_of_alba,アルバ公爵夫人の肖像,The Duchess of Alba,artist_francisco_goya,1797,,,oil_painting,romanticism,modern_19c,堂々とした姿勢と指差しで、個性と権威を同時に示した。黒衣の強さが、視線の圧を増幅する。,,
work_hannibal_crossing_the_alps,アルプスを越えるハンニバル,Hannibal Crossing the Alps,artist_jmw_turner,1812,,,painting,romanticism,modern_19c,雪嵐の巨大な渦に人間の営みを呑み込ませ、歴史の野心を自然の力へ対峙させた。風景が英雄を圧倒する。,,
work_bedroom_in_arles,アルルの寝室,Bedroom in Arles|The Bedroom,artist_vincent_van_gogh,1888,,,painting,post_impressionism,modern_19c,簡略化された遠近と強い輪郭で、私的な空間を心象として固定した。安らぎを求めるほど、色の緊張が際立つ。,,
work_the_cardsharps,いかさま師,The Cardsharps,artist_caravaggio,1594,,,oil_painting,,baroque,賭博の瞬間を近距離で描き、欺瞞を視線の交差として示した。日常の小さな悪が、劇的な緊張へ変わる。,,
work_several_circles,いくつかの円,Several Circles,artist_wassily_kandinsky,1926,,,painting,abstract_art,modern_early_20c,円だけで宇宙的な奥行きと速度感を生み出した作品。単純な形が、色と配置によって多層の空間を開く。,,
work_sacrifice_of_isaac_caravaggio,イサクの犠牲,The Sacrifice of Isaac,artist_caravaggio,1603,,,oil_painting,,baroque,叫びと制止の同時性で物語を切り裂き、信仰の恐怖を近距離で突きつけた。光が刃の冷たさを強める。,,
work_infanta_maria_teresa_1651,インファンタ・マリア・テレサの肖像,Portrait of Infanta Maria Teresa,artist_diego_velazquez,1651,,,oil_painting,,baroque,華麗な衣装の構造が人物を包み、幼さと政治的役割が同居する。視線が固く、宮廷の空気が重い。,,
work_portrait_of_infanta_margarita_1656,インファンタ・マルガリータの肖像,Portrait of Infanta Margarita,artist_diego_velazquez,1656,,,oil_painting,,baroque,豪奢な衣装の構造と少女の幼さが同居し、宮廷の空気が凝縮される。装飾の中で、表情だけが生身として光る。,,
work_infinity_mirror_room_phallis_field,インフィニティ・ミラー・ルーム（ファリィズ・フィールド）,Infinity Mirror Room—Phalli’s Field,artist_yayoi_kusama,1965,,,installation,contemporary_art,contemporary,鏡と反復する突起物で、視覚が無限へ引き伸ばされる体験を作る。自己と空間の境界が薄れ、没入が不安と快楽を同時に呼ぶ。,,
work_aftermath_of_obliteration_of_eternity,インフィニティ・ミラー・ルーム（永遠の無限の光の残照）,Infinity Mirror Room—Aftermath of Obliteration of Eternity,artist_yayoi_kusama,2009,,,installation,contemporary_art,contemporary,暗闇に浮かぶ無数の光が鏡で増殖し、時間感覚が溶ける体験を作る。孤独と祝祭が同居し、身体が宇宙の一部になる。,,
work_infinity_mirror_room_souls_of_millions,インフィニティ・ミラー・ルーム（幾百万光年の彼方へ）,Infinity Mirror Room—The Souls of Millions of Light Years Away,artist_yayoi_kusama,2013,,,installation,contemporary_art,contemporary,鏡と光点が無限の宇宙感覚を生み、身体の輪郭が溶けていく。孤独と多幸感が同居し、時間感覚が静かに崩れる。,,
work_venus_and_adonis_rubens,ヴィーナスとアドニス,Venus and Adonis,artist_peter_paul_rubens,,1635,1640,oil_painting,,baroque,別れの瞬間に官能と死の予感を重ね、物語を感情の爆発として描いた。肌の光が甘く、影が冷たい。,,
work_venus_and_mars_botticelli,ヴィーナスとマルス,Venus and Mars,artist_sandro_botticelli,,1483,1485,painting,,renaissance,眠るマルスと醒めたヴィーナスの対比で、欲望と理性の温度差を描いた。軽い寓意の裏に、関係の力学が透ける。,,
work_birth_of_venus,ヴィーナスの誕生,The Birth of Venus|Nascita di Venere,artist_sandro_botticelli,,1485,1486,painting,,renaissance,神話の瞬間を、輪郭線のリズムと淡い色彩で詩のように描いた。肉体は現実よりも理念に近く、見る者の想像力を誘う。,,
work_vitruvian_man,ウィトルウィウス的人体図,Vitruvian Man|L’Uomo vitruviano,artist_leonardo_da_vinci,,1487,1490,drawing,,renaissance,人体を円と正方形に重ね、自然の比例と理性の秩序を可視化した素描。芸術と科学が同じ線の上で結びつく象徴として語り継がれる。,,
work_portrait_duke_of_wellington,ウェリントン公爵の肖像,Portrait of the Duke of Wellington,artist_francisco_goya,1812,,,oil_painting,romanticism,modern_19c,軍装の記号の中に人物の現実味を残し、英雄像を過度に飾らない。筆致が速く、視線が生身として立ち上がる。,,
work_the_forge_of_vulcan,ウルカヌスの鍛冶場,The Forge of Vulcan|La Fragua de Vulcano,artist_diego_velazquez,1630,,,oil_painting,,baroque,神話の知らせに驚く職人たちの表情を、筋肉と光で説得力ある劇にした。神々の物語が工房の現実味を帯びる。,,
work_the_forge_of_vulcan,ウルカヌスの鍛冶場,The Forge of Vulcan,artist_diego_velazquez,1630,,,oil_painting,,baroque,告げ口の瞬間に空気が変わり、筋肉の量感が物語の衝撃を支える。神話が、工房の現実として鳴る。,,
work_rest_on_the_flight_into_egypt,エジプト逃避途上の休息,Rest on the Flight into Egypt,artist_caravaggio,1597,,,oil_painting,,baroque,聖家族の疲れを静かな詩として描き、天使の音楽が場を支える。宗教画が家庭の温度へ滑り込み、物語が親密になる。,,
work_the_eiffel_tower_seurat,エッフェル塔,The Eiffel Tower|La Tour Eiffel,artist_georges_seurat,1889,,,painting,neo_impressionism,modern_19c,新しい鉄の建造物を点描の秩序で描き、近代の象徴を風景として定着させた。構造物が空気の中で軽く立つ。,,
work_cliffs_at_etretat,エトルタの断崖,Cliffs at Étretat,artist_claude_monet,1885,,,painting,impressionism,modern_19c,波と岩の対比を光でほどき、風景を爽快な呼吸として描いた。海の音が聞こえるように、筆致が細かく震える。,,
work_supper_at_emmaus,エマオの晩餐,Supper at Emmaus,artist_caravaggio,1601,,,oil_painting,,baroque,正体が明かされる瞬間を、テーブルの飛び出すような構図で劇化した。手の動きと果物の静物が、現実と啓示の境目を曖昧にする。,,
work_eight_elvises,エルヴィス8人,Eight Elvises,artist_andy_warhol,1963,,,printmaking,pop_art,modern_mid_20c,同一イメージの連続で、映画スターを機械的な影として増殖させた。反復がカリスマを強めつつ、人物を記号へ押し潰す。,,
work_church_at_auvers,オーヴェールの教会,The Church at Auvers,artist_vincent_van_gogh,1890,,,painting,post_impressionism,modern_19c,建物が揺れるように歪み、信仰の場が不安の象徴にも見える。空と道の色が強く、心の動揺が風景になる。,,
work_autumn_rhythm_number_30,オータム・リズム（ナンバー30）,Autumn Rhythm (Number 30),artist_jackson_pollock,1950,,,painting,abstract_expressionism,modern_mid_20c,巨大画面に連続する線の網を築き、身体の動きがそのまま構図となった。偶然と制御が拮抗し、絵が時間のリズムを帯びる。,,
work_obliteration_room,オブリタレーション・ルーム,The Obliteration Room,artist_yayoi_kusama,2002,,,installation,contemporary_art,contemporary,白い部屋が観客のシールで埋まり、空間が共同制作で変質していく。消去と付加が同時に進み、鑑賞が行為へ置き換わる。,,
work_the_orchestra_of_the_opera,オペラ座のオーケストラ,The Orchestra of the Opera,artist_edgar_degas,1870,,,painting,impressionism,modern_19c,楽団を前景に置き、舞台を部分的にしか見せない構成で鑑賞の位置をずらした。見えないものが多いほど、場の臨場感が増す。,,
work_olivares_on_horseback,オリバーレス公爵騎馬像,The Count-Duke of Olivares on Horseback,artist_diego_velazquez,1634,,,oil_painting,,baroque,権力の誇示を騎馬の動勢で描きつつ、空の広がりが孤独を匂わせる。勝利の像がどこか冷たい。,,
work_orange_red_yellow_rothko,オレンジ、赤、黄,"Orange, Red, Yellow",artist_mark_rothko,1961,,,painting,abstract_expressionism,modern_mid_20c,三つの色面が互いに発光し、温度の違いが感情の層として立ち上がる。近づくほど境界が溶け、空間が呼吸する。,,
work_orange_and_yellow,オレンジとイエロー,Orange and Yellow,artist_mark_rothko,1956,,,painting,abstract_expressionism,modern_mid_20c,温かい色面が柔らかく発光し、見る者の感覚を包み込む。単純な構成が、逆に強い没入感を生む。,,
work_the_card_players_cezanne,カード遊び,The Card Players,artist_paul_cezanne,,1890,1892,painting,post_impressionism,modern_19c,沈黙の対戦を色面と形の重さで構築し、人物と空間を同じ密度で支えた。静かな場面が、石のように強い。```,,
work_the_card_players_cezanne,カード遊びをする人々,The Card Players|Les Joueurs de cartes,artist_paul_cezanne,,1892,1893,painting,post_impressionism,modern_19c,人物と机を堅い形の積み重ねとして捉え、沈黙の重さを構築した。日常が、静かな建築のように画面へ立ち上がる。,,
work_portrait_of_dr_gachet,ガシェ医師の肖像,Portrait of Dr. Gachet,artist_vincent_van_gogh,1890,,,painting,post_impressionism,modern_19c,肘をつく姿勢に疲労と共感を重ね、肖像を心の風景にした。青のうねりが人物を包み、憂いが色になる。,,
work_the_snail,カタツムリ,The Snail,artist_henri_matisse,1953,,,painting,,modern_mid_20c,切り紙の色面を渦状に配置し、カタツムリの運動感を抽象化した。単純な形が強いリズムを生み、晩年の自由さが凝縮される。,,
work_pumpkin_kusama,かぼちゃ,Pumpkin,artist_yayoi_kusama,,1990,1999,sculpture,contemporary_art,contemporary,反復する水玉と有機的な形で、可愛らしさと不気味さを同時に呼び起こすモチーフ。単純な形が強い記憶装置となり、空間の重心になる。,,
work_wheatfield_with_crows,からすのいる麦畑,Wheatfield with Crows,artist_vincent_van_gogh,1890,,,painting,post_impressionism,modern_19c,道の分岐と荒い筆触が、不安と高揚を同時に伝える晩年作。空の重さと黒い鳥が、風景を心の告白へ変える。,,
work_the_storm_on_the_sea_of_galilee,ガリラヤ湖の嵐,The Storm on the Sea of Galilee,artist_rembrandt,1633,,,oil_painting,,baroque,荒波に揺れる舟を劇的な明暗で照らし、恐怖と祈りを同時に噴き上げさせた。画面がそのまま嵐の音になる。,,
work_dido_building_carthage,カルタゴを建設するディド,Dido Building Carthage,artist_jmw_turner,1815,,,painting,romanticism,modern_19c,古代都市の港を黄金の光で満たし、栄光と没落の予感を同時に描いた。歴史が風景に溶け込み、時間が広がる。,,
work_family_of_charles_iv,カルロス4世の家族,The Family of Charles IV,artist_francisco_goya,1800,,,oil_painting,romanticism,modern_19c,王族の集団肖像を豪奢に描きつつ、微妙な違和感で権力の脆さを露出させた。輝きの中に皮肉が沈む。,,
work_calais_pier,カレーの桟橋,Calais Pier,artist_jmw_turner,1803,,,painting,romanticism,modern_19c,港の風と波を色のうねりで描き、旅立ちの不安と高揚を同時に立ち上げた。空と海が混ざり、視線が揺れる。,,
work_le_chahut,カンカン（ル・シャユ）,Le Chahut,artist_georges_seurat,1890,,,painting,neo_impressionism,modern_19c,踊りの高揚を曲線の反復で整理し、歓楽を図式として見せた。熱狂がどこか機械的で、都市の夜の冷たさが残る。,,
work_the_bolt_fragonard,かんぬき,The Bolt|Le Verrou,artist_jean_honore_fragonard,1777,,,oil_painting,,rococo,扉を閉める動作に緊張を集中させ、甘いロココを一気に危うい場へ変えた。布の乱れが感情の速度を示す。,,
work_the_guitar_player,ギターを弾く女,The Guitar Player,artist_johannes_vermeer,1672,,,oil_painting,,baroque,音楽の軽さを明るい色と反射で描き、室内の空気が弾む。親密な喜びが、視線の近さとして伝わる。,,
work_campbells_soup_cans,キャンベル・スープ缶,Campbell’s Soup Cans,artist_andy_warhol,1962,,,printmaking,pop_art,modern_mid_20c,大量消費の記号を反復し、日常の商品を芸術の主役にした。個性より複製が前に出て、近代の欲望がそのまま展示物になる。,,
work_taking_of_christ,キリストの捕縛,The Taking of Christ,artist_caravaggio,1602,,,oil_painting,,baroque,闇の中で起きる逮捕を、鎧の反射と表情の近さで圧縮した。緊張が息を詰め、瞬間が永遠に固定される。,,
work_entombment_raphael,キリストの埋葬,The Entombment,artist_raphael,1507,,,painting,,renaissance,運ばれる身体の重みを群像の連鎖で表し、悲しみを運動として構成した。静止画なのに時間が流れ、視線が追いすがる。,,
work_the_conspiracy_of_claudius_civilis,クラウディウス・キウィリスの謀議,The Conspiracy of Claudius Civilis,artist_rembrandt,,1661,1662,oil_painting,,baroque,円卓の周囲に光を集中させ、誓約の瞬間を不穏な儀式として描いた。英雄譚よりも、人間の影が画面を支配する。,,
work_channel_at_gravelines,グラヴリーヌの海峡,The Channel at Gravelines,artist_georges_seurat,1890,,,painting,neo_impressionism,modern_19c,水平線と水面が点で整理され、海が静かな構造物のように見える。風景が冷静で、時間が止まる。,,
work_channel_of_gravelines,グラヴリーヌの水路,The Channel of Gravelines,artist_georges_seurat,1890,,,painting,neo_impressionism,modern_19c,海辺の水平線と水路を幾何学的にまとめ、風景を秩序として描いた。色の点が空気を作り、静かな場所が抽象へ近づく。,,
work_sunday_afternoon_grande_jatte,グランド・ジャット島の日曜日の午後,A Sunday Afternoon on the Island of La Grande Jatte|Un dimanche après-midi à l’Île de la Grande Jatte,artist_georges_seurat,,1884,1886,painting,neo_impressionism|pointillism,modern_19c,点描の集積で光と色を構成し、休日の群像を静かな記号のように整えた。近代都市の秩序と距離感が、画面の硬質さとして現れる。,,
work_guernica,ゲルニカ,Guernica,artist_pablo_picasso,1937,,,painting,cubism,modern_mid_20c,戦争の暴力を白黒の群像で叫びとしてまとめ上げた反戦の象徴。断片化された形が痛みを増幅し、個の悲劇が普遍の告発へ変わる。,,
work_madonna_of_the_goldfinch,ゴールドフィンチの聖母,Madonna of the Goldfinch,artist_raphael,1506,,,painting,,renaissance,幼子たちの遊びに受難の予兆を織り込み、優しさの中に陰影を残した。穏やかな構図が、静かな不安を包み隠す。,,
work_madonna_of_the_goldfinch,ゴシキヒワの聖母,Madonna of the Goldfinch,artist_raphael,1506,,,painting,,renaissance,幼子たちの触れ合いが自然で、宗教画が日常の温度へ近づく。柔らかい光の中に、受難の予兆が小さく混ざる。,,
work_punishment_of_korah,コラの罰,The Punishment of Korah,artist_sandro_botticelli,,1481,1482,painting,,renaissance,旧約の物語を建築空間に配置し、秩序の破綻を群像の動きで描いた。歴史画が、政治的緊張を帯びる。,,
work_david_with_head_of_goliath,ゴリアテの首を持つダヴィデ,David with the Head of Goliath,artist_caravaggio,,1609,1610,oil_painting,,baroque,勝利ではなく哀しみが漂う表情で、暴力の後味を残した。暗闇が深く、若者の手の重さが心理として伝わる。,,
work_open_window_collioure,コリウールの窓,"Open Window, Collioure",artist_henri_matisse,,1905,,painting,fauvism,modern_early_20c,窓辺の光と港の色を大胆に並置し、風景を色の祝祭として捉えた。現実の正確さより、見る喜びが先に立つ。,,
work_convergence_pollock,コンヴァージェンス,Convergence,artist_jackson_pollock,1952,,,painting,abstract_expressionism,modern_mid_20c,色の飛沫と線が交差し、画面全体が震えるようなエネルギーを持つ。意味を拒む密度が、純粋に視覚と身体へ訴えかける。,,
work_place_de_la_concorde,コンコルド広場,Place de la Concorde,artist_edgar_degas,1875,,,painting,impressionism,modern_19c,人物が画面から切れていく構図で、都市の通過感を強めた。中心が空くほど、現代の孤立が浮かぶ。,,
work_composition_vii,コンポジションVII,Composition VII,artist_wassily_kandinsky,1913,,,painting,expressionism|abstract_art,modern_early_20c,色と線が衝突しながら流れ込み、物語より先に感覚が爆発する抽象絵画。音楽的な構造で、内面の激しさを画面に変換した。,,
work_composition_viii,コンポジションVIII,Composition VIII,artist_wassily_kandinsky,1923,,,painting,abstract_art,modern_early_20c,幾何学形態を秩序立てて配置し、抽象を理性の設計図として示した。円や直線が響き合い、静かな緊張が持続する。,,
work_the_circus_seurat,サーカス,The Circus|Le Cirque,artist_georges_seurat,1891,,,painting,neo_impressionism|pointillism,modern_19c,曲芸の旋回を円弧のリズムとして整理し、動きを構図の法則に変えた。完成を待たずに残った断片性が、逆に緊張を生む。,,
work_parade_de_cirque,サーカスのパレード,Parade de Cirque|Circus Sideshow,artist_georges_seurat,,1887,1888,painting,neo_impressionism,modern_19c,夜の興行を人工光の中で描き、見世物の魅力と寂しさを同時に示した。点描の光が人物を平面化し、都市の娯楽を冷静に観察する。,,
work_rhinoceros_durer,サイ,Rhinoceros,artist_albrecht_durer,1515,,,printmaking,,renaissance,実物を見ずに想像で構造を描き、図像を世界へ流通させた版画。誤りさえも、強烈な記憶として定着する。,,
work_madonna_of_the_pomegranate,ザクロの聖母,Madonna of the Pomegranate,artist_sandro_botticelli,1487,,,painting,,renaissance,ザクロを手にした母子を中心に、象徴と優美さを重ねた。穏やかな表情の奥に、未来の痛みが静かに予告される。,,
work_salvator_mundi,サルバトール・ムンディ,Salvator Mundi,artist_leonardo_da_vinci,,1499,1510,oil_painting,,renaissance,水晶球を手にした救世主像を、静かな眼差しと繊細な陰影で描いた。聖性が現実の肌理へ降りてきて、近さが不思議な緊張を生む。,,
work_gare_saint_lazare,サン＝ラザール駅,Gare Saint-Lazare series,artist_claude_monet,,1877,1877,painting,impressionism,modern_19c,蒸気と鉄骨の空間を光の粒として捉え、近代の駅を新しい風景にした。煙が形を溶かし、都市の呼吸が見える。,,
work_mont_sainte_victoire_cezanne,サント＝ヴィクトワール山,Mont Sainte-Victoire,artist_paul_cezanne,,1902,1904,painting,post_impressionism,modern_early_20c,同じ山を繰り返し描き、色面と筆触で空間を組み立てた連作の核。風景が、見る行為の構造そのものへ変わっていく。,,
work_sistine_madonna,システィーナの聖母,Sistine Madonna,artist_raphael,,1512,1513,painting,,renaissance,雲間から現れる聖母子を、静かな威厳と親密さの両方で描いた。下部の天使像も含め、崇高さが日常の感情へと滑り込む。,,
work_sistine_chapel_ceiling,システィーナ礼拝堂天井画,Sistine Chapel ceiling|Volta della Cappella Sistina,artist_michelangelo_buonarroti,,1508,1512,painting,,renaissance,天井全体に創世記の物語と膨大な人物群を展開した壮大な計画。彫刻的な人体表現が空間を支配し、見る者の身体感覚を揺さぶる。,,
work_ginevra_de_benci,ジネヴラ・デ・ベンチの肖像,Ginevra de' Benci,artist_leonardo_da_vinci,1474,,,oil_painting,,renaissance,沈黙の表情と背景の植物が、人物の気配を詩のように支える肖像。控えめな光が、内面の輪郭をゆっくり浮かび上がらせる。,,
work_the_potato_eaters,ジャガイモを食べる人々,The Potato Eaters,artist_vincent_van_gogh,1885,,,painting,post_impressionism,modern_19c,労働の手と粗末な食事を暗い色調で描き、生活の重さを正面から示した。理想化を拒み、人間の現実が灯りの下に浮かぶ。,,
work_jackie_warhol,ジャッキー,Jackie,artist_andy_warhol,1964,,,printmaking,pop_art,modern_mid_20c,悲劇の映像を反復し、個人の痛みがメディアの図像へ変わる瞬間を示した。顔のズレが記憶の揺れとして残る。,,
work_madame_charpentier_and_children,シャルパンティエ夫人と子どもたち,Madame Charpentier and Her Children,artist_pierre_auguste_renoir,1878,,,painting,impressionism,modern_19c,社交界の肖像に家庭の親密さを重ね、人物関係を柔らかな光でまとめた。華やぎの中に、子どもの生身が残る。,,
work_portrait_jeanne_samary,ジャンヌ・サマリーの肖像,Portrait of Jeanne Samary,artist_pierre_auguste_renoir,1877,,,painting,impressionism,modern_19c,笑みの気配を柔らかな色で包み、人物を光の中へ溶かした。肌と背景が響き合い、親密さが前に出る。,,
work_girl_with_a_watering_can,じょうろを持つ少女,Girl with a Watering Can,artist_pierre_auguste_renoir,1876,,,painting,impressionism,modern_19c,子どもの姿を明るい色で包み、無垢さを外光の中に置いた。動き出しそうな足元が、時間の軽さを作る。,,
work_shot_sage_blue_marilyn,ショット・セージ・ブルー・マリリン,Shot Sage Blue Marilyn,artist_andy_warhol,1964,,,painting,pop_art,modern_mid_20c,スターの顔を鮮烈な色で固定し、偶像の強度を極端に高めた。美しさが強いほど、消費と暴力の影が濃い。,,
work_silver_car_crash_double_disaster,シルバー・カー・クラッシュ（ダブル・ディザスター）,Silver Car Crash (Double Disaster),artist_andy_warhol,1963,,,printmaking,pop_art,modern_mid_20c,事故写真の反復で、惨事がメディアによって消費される構造を露出させた。反復が麻痺を生み、空白が不気味な沈黙になる。,,
work_portrait_susanna_fourment,スザンナ・フールマンの肖像,Portrait of Susanna Fourment,artist_peter_paul_rubens,1620,,,oil_painting,,baroque,黒衣の光沢と肌の明るさで、人物の存在感を端正に立ち上げた。華美ではなく、視線の強さが残る。,,
work_staffa_fingals_cave,スタッファ島 フィンガルの洞窟,"Staffa, Fingal's Cave",artist_jmw_turner,1832,,,painting,romanticism,modern_19c,洞窟と海の反響を光の層で描き、自然の巨大さを聴覚的に感じさせる。風景が音になり、身体が吸い込まれる。,,
work_the_water_seller_of_seville,セビーリャの水売り,The Water Seller of Seville,artist_diego_velazquez,,1618,1622,oil_painting,,baroque,水の透明感と陶器の質感で、庶民の生活を堂々と描いた。静かなやり取りの中に、尊厳が光る。,,
work_david_michelangelo,ダヴィデ像,David,artist_michelangelo_buonarroti,,1501,1504,sculpture,,renaissance,巨大な大理石に、緊張の直前の肉体と精神を刻んだ彫刻。静止しているのに脈が打つような存在感で、理想的人体の基準となった。,,
work_danae_rembrandt,ダナエ,Danaë,artist_rembrandt,,1636,1643,oil_painting,,baroque,迎え入れる仕草に期待と不安が混ざり、光が身体へ吸い込まれるように広がる。神話が感情のドラマとして現前する。,,
work_conversion_on_the_way_to_damascus,ダマスコ途上の回心,The Conversion on the Way to Damascus,artist_caravaggio,1601,,,oil_painting,,baroque,倒れた身体と巨大な馬の質量で、啓示を圧倒的な出来事として描いた。光は説明ではなく衝撃として降り注ぐ。,,
work_the_tub_degas,たらい,The Tub,artist_edgar_degas,1886,,,painting,impressionism,modern_19c,上から覗く視点で私的な動作を捉え、身体を日常のリズムとして描いた。親密さと距離が同居し、見る側の立場が問われる。,,
work_dance_matisse,ダンス,Dance|La Danse,artist_henri_matisse,1910,,,painting,,modern_early_20c,単純化した人体と輪の運動で、生命のエネルギーを象徴化した。最小限の要素が最大の躍動を生み、構図が身体感覚へ直結する。,,
work_anatomy_lesson_of_dr_nicolaes_tulp,テュルプ博士の解剖学講義,The Anatomy Lesson of Dr. Nicolaes Tulp,artist_rembrandt,1632,,,oil_painting,,baroque,学問の場を光で劇化し、視線の集中を画面に固定した。死体の冷たさと知の熱が、同じ空気を共有する。,,
work_delphic_sibyl,デルフォイの巫女,Delphic Sibyl,artist_michelangelo_buonarroti,1511,,,painting,,renaissance,厚い量感の身体で予言者を描き、精神を肉体の重さとして示した。振り返る動作が、時間の切れ目を作る。,,
